127.0.0.1 - - [15/Jul/2022:07:18:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /LoginAplication/image/book.gif HTTP/1.1" 200 72727
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /LoginAplication/image/bulb.gif HTTP/1.1" 200 54011
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /LoginAplication/image/logo.jpg HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:18:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:27 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:27 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:28 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:34 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:49 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:49 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:20:56 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:21:17 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:21:17 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:37:27 +0530] "GET /LoginAplication/AdminLogin.html? HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:37:27 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:07:37:39 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:21 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:21 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:30 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:35 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:46 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:16:55 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:21:50 +0530] "GET /LoginAplication/AdminLogin.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:00 +0530] "POST /LoginAplication/adminLog HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:00 +0530] "GET /LoginAplication/image/welcome2.gif HTTP/1.1" 200 25981
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:03 +0530] "GET /LoginAplication/adminDashboard.html? HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:04 +0530] "GET /LoginAplication/ManageContent? HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:19 +0530] "GET /LoginAplication/SelectBookSubject? HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:19 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:22:36 +0530] "POST /LoginAplication/SelectSubject HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:23:19 +0530] "POST /LoginAplication/SelectSubject HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:23:50 +0530] "GET /LoginAplication/updateBook? HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:24:13 +0530] "POST /LoginAplication/updateBook2 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [15/Jul/2022:08:24:36 +0530] "GET /LoginAplication/deleteBook? HTTP/1.1" 200 544
