127.0.0.1 - - [06/May/2022:10:46:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2022:10:46:48 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [06/May/2022:10:46:48 +0530] "GET /PlayWithRequestAndResponceObject/LogIn.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [06/May/2022:10:46:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:22 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:23 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:24 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:24 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:31 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:47:32 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:30 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:30 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:31 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:31 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:38 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:48:39 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:49:37 +0530] "GET /PlayWithRequestAndResponceObject/signIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:49:37 +0530] "GET /PlayWithRequestAndResponceObject/LoginStyle.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [06/May/2022:10:55:54 +0530] "GET /LoginAplication/LogIn.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [06/May/2022:10:55:54 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 200 1715
